period_label,period_start,period_end,ic_success_email,ic_support_email,ic_chat,ic_total,support_marco_escalations,ic_no_effort,lin_cus_created,lin_cus_p0,lin_cus_p1,lin_rep_created,lin_rep_p0,lin_rep_p1,lin_total_created,grand_total,metric_created_completed_1wk_pct,ic_avg_first_response_min,ic_avg_resolution_hr,_ic_resp_sum_sec,_ic_resp_n,_ic_res_sum_sec,_ic_res_n,_metric_num,_metric_den
2026-05-22,2026-05-22,2026-05-22,0,1,8,9,,4,0,0,0,3,0,0,3,12,0.0,1.8,28.3,532,5,915386,9,0,3
2026-05-23,2026-05-23,2026-05-23,0,0,1,1,,1,0,0,0,0,0,0,0,1,,,11.5,0,0,41400,1,0,0
2026-05-24,2026-05-24,2026-05-24,0,0,5,5,,5,0,0,0,0,0,0,0,5,,,10.4,0,0,112539,3,0,0
2026-05-25,2026-05-25,2026-05-25,0,0,8,8,,3,0,0,0,1,0,0,1,9,100.0,5.0,12.2,1496,5,306509,7,1,1
2026-05-26,2026-05-26,2026-05-26,0,3,18,21,,5,9,0,1,4,0,0,13,34,15.4,9.3,11.2,9518,17,687628,17,2,13
2026-05-27,2026-05-27,2026-05-27,0,3,16,19,,4,7,0,0,9,0,1,16,35,18.8,34.7,17.4,31202,15,1000502,16,3,16
2026-05-28,2026-05-28,2026-05-28,6,8,22,36,,14,11,0,0,1,0,0,12,48,8.3,1.3,5.7,1583,20,533195,26,1,12
2026-05-29,2026-05-29,2026-05-29,9,10,8,27,,8,4,0,0,1,0,0,5,32,0.0,2.2,3.4,1550,12,241358,20,0,5
2026-05-30,2026-05-30,2026-05-30,0,1,4,5,,2,1,0,0,0,0,0,1,6,0.0,114.0,11.0,13676,2,157931,4,0,1
2026-05-31,2026-05-31,2026-05-31,0,1,4,5,,5,0,0,0,0,0,0,0,5,,,11.3,0,0,122561,3,0,0
2026-06-01,2026-06-01,2026-06-01,6,12,17,35,,12,1,0,0,3,0,0,4,39,25.0,4.4,3.0,5330,20,335550,31,1,4
2026-06-02,2026-06-02,2026-06-02,3,12,17,32,,7,2,0,0,4,0,0,6,38,33.3,176.8,3.9,275783,26,406267,29,2,6
2026-06-03,2026-06-03,2026-06-03,4,18,23,45,,21,2,0,0,1,0,0,3,48,0.0,10.0,6.4,13806,23,754788,33,0,3
2026-06-04,2026-06-04,2026-06-04,4,10,14,28,,12,0,0,0,1,0,0,1,29,0.0,6.8,6.9,6563,16,699077,28,0,1
2026-06-05,2026-06-05,2026-06-05,3,13,7,23,,10,1,0,0,6,0,0,7,30,28.6,171.3,5.3,123319,12,344155,18,2,7
2026-06-06,2026-06-06,2026-06-06,0,2,3,5,,3,0,0,0,0,0,0,0,5,,8.1,6.7,972,2,72899,3,0,0
2026-06-07,2026-06-07,2026-06-07,0,4,4,8,,8,1,0,0,0,0,0,1,9,0.0,,9.9,0,0,177428,5,0,1
2026-06-08,2026-06-08,2026-06-08,2,25,15,42,,22,1,0,0,1,0,0,2,44,0.0,3.0,1.8,3615,20,195691,31,0,2
2026-06-09,2026-06-09,2026-06-09,2,41,22,65,,33,5,0,1,1,0,0,6,71,0.0,35.8,4.2,68747,32,865325,57,0,6
2026-06-10,2026-06-10,2026-06-10,6,24,25,55,,21,7,0,3,2,0,0,9,64,0.0,20.7,2.6,38476,31,389232,41,0,9
2026-06-11,2026-06-11,2026-06-11,2,10,11,23,,6,1,0,0,3,0,0,4,27,0.0,13.9,2.8,13313,16,190253,19,0,4
2026-06-12,2026-06-12,2026-06-12,0,5,8,13,,5,4,0,0,3,0,0,7,20,0.0,17.5,0.9,8419,8,28652,9,0,7
